SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UTD_NUM,UTD_PCT,PME_NUM,PME_PCT,PBE_NUM,PBE_PCT,REPORTED
0110254,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,SANKOFA ACADEMY,14,14,100,0,0,0,0,Y
0112763,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,UNITED FOR SUCCESS ACADEMY,138,138,100,0,0,0,0,Y
6118657,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,URBAN PROMISE ACADEMY,92,92,100,0,0,0,0,Y
0115626,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,WEST OAKLAND MIDDLE,72,72,100,0,0,0,0,Y
6057095,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,WESTLAKE MIDDLE,182,180,99,0,0,2,1,Y
6066492,ALAMEDA,PUBLIC,PIEDMONT CITY UNIFIED,PIEDMONT,PIEDMONT MIDDLE,220,217,99,0,0,3,1,Y
6066500,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,HARVEST PARK MIDDLE,399,393,99,0,0,6,2,Y
6108971,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,PLEASANTON MIDDLE,393,390,99,0,0,3,1,Y
6117592,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,THOMAS S. HART MIDDLE,390,387,99,0,0,3,1,Y
6057111,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,BANCROFT MIDDLE,311,309,99,2,1,0,0,Y
6066518,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,JOHN MUIR MIDDLE,323,311,96,10,3,2,1,Y
6002703,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LEANDRO,WASHINGTON MANOR MIDDLE,280,280,100,0,0,0,0,Y
6002513,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,BOHANNON MIDDLE,291,286,98,0,0,5,2,Y
6002562,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,EDENDALE MIDDLE,248,247,100,0,0,1,0,Y
0101212,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,KIPP SUMMIT ACADEMY,101,101,100,0,0,0,0,Y
0107839,ALAMEDA,PUBLIC,SBE - LIVERMORE VALLEY CHARTER,LIVERMORE,LIVERMORE VALLEY CHARTER,124,120,97,0,0,4,3,Y
6002711,ALAMEDA,PUBLIC,SUNOL GLEN UNIFIED,SUNOL,SUNOL GLEN ELEMENTARY,21,19,90,0,0,2,10,Y
7777777,ALAMEDA,PUBLIC,TEST UNIFIIED,TEST,TEST SCHOOL,240,232,97,0,0,8,3,Y
6204697,ALAMEDA,PRIVATE,,ALAMEDA,CHINESE CHRISTIAN SCHOOLS ALAMEDA,13,13,100,0,0,0,0,Y
6965891,ALAMEDA,PRIVATE,,ALAMEDA,ST. JOSEPH ELEMENTARY,26,26,100,0,0,0,0,Y
6973077,ALAMEDA,PRIVATE,,ALAMEDA,ST. PHILIP NERI ELEMENTARY,30,30,100,0,0,0,0,Y
6989784,ALAMEDA,PRIVATE,,BERKELEY,BLACK PINE CIRCLE SCHOOL,48,47,98,0,0,1,2,Y
6141709,ALAMEDA,PRIVATE,,BERKELEY,EAST BAY SCHOOL FOR BOYS,27,22,81,2,7,3,11,Y
6900757,ALAMEDA,PRIVATE,,BERKELEY,ECOLE BILINGUE DE BERKELEY,45,45,100,0,0,0,0,Y
6973085,ALAMEDA,PRIVATE,,BERKELEY,SCHOOL OF THE MADELEINE,37,37,100,0,0,0,0,Y
6967442,ALAMEDA,PRIVATE,,BERKELEY,THE BERKELEY SCHOOL,25,25,100,0,0,0,0,Y
6143846,ALAMEDA,PRIVATE,,BERKELEY,WOODSEDGE INC. DBA ARCHWAY SCHOOL,13,12,92,0,0,1,8,Y
6970651,ALAMEDA,PRIVATE,,CASTRO VALLEY,OUR LADY OF GRACE SCHOOL,32,32,100,0,0,0,0,Y
7103989,ALAMEDA,PRIVATE,,DUBLIN,"QUARRY LANE SCHOOL, THE",28,28,100,0,0,0,0,Y
7012222,ALAMEDA,PRIVATE,,DUBLIN,ST. RAYMOND,32,32,100,0,0,0,0,Y
6933170,ALAMEDA,PRIVATE,,DUBLIN,VALLEY CHRISTIAN JUNIOR / SENIOR HIGH SCHOOL,54,52,96,0,0,2,4,Y
7103799,ALAMEDA,PRIVATE,,FREMONT,ALSION MONTESSORI MIDDLE/HIGH,10,10,100,0,0,0,0,Y
7089451,ALAMEDA,PRIVATE,,FREMONT,BETHEL CHRISTIAN ACADEMY, ,,,,,,,N
6909840,ALAMEDA,PRIVATE,,FREMONT,FREMONT CHRISTIAN SCHOOL,46,45,98,0,0,1,2,Y
6972731,ALAMEDA,PRIVATE,,FREMONT,HOLY SPIRIT ELEMENTARY,33,33,100,0,0,0,0,Y
6922389,ALAMEDA,PRIVATE,,FREMONT,KIMBER HILLS ACADEMY,18,18,100,0,0,0,0,Y
6976013,ALAMEDA,PRIVATE,,FREMONT,MISSION HILLS CHRISTIAN SCHOOL, ,,,,,,,N
7047236,ALAMEDA,PRIVATE,,FREMONT,NEW HORIZONS,14,14,100,0,0,0,0,Y
6970628,ALAMEDA,PRIVATE,,FREMONT,OUR LADY OF GUADALUPE,23,23,100,0,0,0,0,Y
7100902,ALAMEDA,PRIVATE,,FREMONT,PEACE TERRACE ACADEMY,13,13,100,0,0,0,0,Y
